"meter_id","name","kec_name","des_name","log_time","power_usage","capacity","bulan","h","m","s"
24,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-30 20:11:00.000,0.23975580427342521151,0.9,8,20,11,0.000000
24,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-30 17:10:49.000,0.19326175490559052274,0.9,8,17,10,49.000000
24,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-30 14:10:45.000,0.20972813020159053002,0.9,8,14,10,45.000000
24,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-30 11:10:31.000,0.20314523589269195039,0.9,8,11,10,31.000000
24,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-30 08:10:21.000,0.21249385145105755042,0.9,8,8,10,21.000000
24,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-30 05:10:12.000,0.18984179850124895920,0.9,8,5,10,12.000000
24,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-30 02:10:03.000,0.16182805768870575075,0.9,8,2,10,3.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-27 23:37:04.000,0.23980016652789342215,0.9,8,23,37,4.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-27 20:36:55.000,0.39296947271045328109,0.9,8,20,36,55.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-27 17:36:45.000,0.23980016652789342215,0.9,8,17,36,45.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-27 14:36:36.000,0.16660496112550907133,0.9,8,14,36,36.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-27 11:36:32.000,0.23966712898751733437,0.9,8,11,36,32.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-27 08:36:17.000,0.32972522897585345545,0.9,8,8,36,17.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-27 05:36:08.000,0.23649148778682457614,0.9,8,5,36,8.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-27 02:36:00.000,0.22980849292256452956,0.9,8,2,36,0.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-06 21:12:34.000,0.09653259361997225968,0.9,8,21,12,34.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-06 18:12:19.000,0.23466257668711656262,0.9,8,18,12,19.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-06 15:12:21.000,0.07651788189631272610,0.9,8,15,12,21.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-06 12:12:00.000,0.20982514571190674438,0.9,8,12,12,0.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-06 09:11:51.000,0.13666666666666666667,0.9,8,9,11,51.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-06 06:11:51.000,0.06655574043261231281,0.9,8,6,11,51.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-06 03:11:33.000,0.07993338884263114072,0.9,8,3,11,33.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-06 00:11:24.000,0.08784530386740331540,0.9,8,0,11,24.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-18 21:28:27.000,0.09991673605328892590,0.9,8,21,28,27.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-18 18:28:18.000,0.06995465901730360055,0.9,8,18,28,18.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-18 15:28:11.000,0.12332191463753356079,0.9,8,15,28,11.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-18 12:28:10.000,0.14318749421885116799,0.9,8,12,28,10.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-18 09:27:59.000,0.07322485207100591824,0.9,8,9,27,59.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-18 06:27:43.000,0.03330249768732654924,0.9,8,6,27,43.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-18 03:27:33.000,0.03330557868442964197,0.9,8,3,27,33.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-18 00:27:24.000,0.03330557868442964197,0.9,8,0,27,24.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-04 21:10:47.000,0.31970397779833487275,0.9,8,21,10,47.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-04 18:10:37.000,0.36303080766028309742,0.9,8,18,10,37.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-04 15:10:28.000,0.17650323774283071100,0.9,8,15,10,28.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-04 12:10:18.000,0.18652849740932642625,0.9,8,12,10,18.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-04 09:10:10.000,0.34301572617946345722,0.9,8,9,10,10.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-04 06:10:00.000,0.23644773358001849964,0.9,8,6,10,0.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-04 03:09:50.000,0.22647793505412156536,0.9,8,3,9,50.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-04 00:09:41.000,0.26321147616844053581,0.9,8,0,9,41.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-01 21:07:00.000,0.30971322849213690798,0.9,8,21,7,0.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-01 18:06:50.000,0.29977794226498889933,0.9,8,18,6,50.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-01 15:06:42.000,0.25640551290352418453,0.9,8,15,6,42.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-01 12:06:31.000,0.20982514571190674438,0.9,8,12,6,31.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-01 09:06:22.000,0.41628122109158186556,0.9,8,9,6,22.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-01 06:06:12.000,0.22314737718567860117,0.9,8,6,6,12.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-01 03:06:03.000,0.21646623496762257009,0.9,8,3,6,3.000000
175,R-1/TR -- 900 VA,KELUANG,DAWAS,2021-08-01 00:05:53.000,0.24313072439633638634,0.9,8,0,5,53.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-20 22:29:25.000,0.02997779422649888993,0.9,8,22,29,25.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-20 19:29:17.000,0.11651562788977251668,0.9,8,19,29,17.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-20 16:29:03.000,0.11988899167437557728,0.9,8,16,29,3.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-20 13:28:53.000,0.12989175686927560366,0.9,8,13,28,53.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-20 10:28:44.000,0.12658462107893032481,0.9,8,10,28,44.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-20 07:28:37.000,0.16652789342214820983,0.9,8,7,28,37.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-20 04:28:28.000,0.12664321421958896313,0.9,8,4,28,28.000000
2250,R-1/TR -- 900 VA,KELUANG,SUMBER AGUNG,2021-08-20 01:28:26.000,0.17631094612721090601,0.9,8,1,28,26.000000
